"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station"
"LAKE","","Lake Merritt","","37.797322","-122.265247","LAKE","https://www.bart.gov/stations/lake","0","place_LAKE"
"FTVL","","Fruitvale","","37.774841","-122.224081","FTVL","https://www.bart.gov/stations/ftvl","0","place_FTVL"
"SANL","","San Leandro","","37.721784","-122.16074","SANL","https://www.bart.gov/stations/sanl","0","place_SANL"
"BAYF","","Bay Fair","","37.696908","-122.126446","BAYF","https://www.bart.gov/stations/bayf","0","place_BAYF"
"HAYW","","Hayward","","37.669699","-122.086958","HAYW","https://www.bart.gov/stations/hayw","0","place_HAYW"
"SHAY","","South Hayward","","37.63434","-122.057182","SHAY","https://www.bart.gov/stations/shay","0","place_SHAY"
"UCTY","","Union City","","37.590735","-122.017248","UCTY","https://www.bart.gov/stations/ucty","0","place_UCTY"
"FRMT","","Fremont","","37.55748","-121.976619","FRMT","https://www.bart.gov/stations/frmt","0","place_FRMT"
"ROCK","","Rockridge","","37.844755","-122.251235","ROCK","https://www.bart.gov/stations/rock","0","place_ROCK"
"ORIN","","Orinda","","37.878481","-122.183667","ORIN","https://www.bart.gov/stations/orin","0","place_ORIN"
"LAFY","","Lafayette","","37.893183","-122.12462","LAFY","https://www.bart.gov/stations/lafy","0","place_LAFY"
"WCRK","","Walnut Creek","","37.905791","-122.067327","WCRK","https://www.bart.gov/stations/wcrk","0","place_WCRK"
"PHIL","","Pleasant Hill / Contra Costa Centre","","37.928434","-122.055971","PHIL","https://www.bart.gov/stations/phil","0","place_PHIL"
"CONC","","Concord","","37.973757","-122.029072","CONC","https://www.bart.gov/stations/conc","0","place_CONC"
"NCON","","North Concord / Martinez","","38.003383","-122.024512","NCON","https://www.bart.gov/stations/ncon","0","place_NCON"
"PITT","","Pittsburg / Bay Point","","38.01891","-121.944236","PITT","https://www.bart.gov/stations/pitt","0","place_PITT"
"PCTR","","Pittsburg Center","","38.016847","-121.889062","PCTR","https://www.bart.gov/stations/pctr","0","place_PCTR"
"ANTC","","Antioch","","37.995373","-121.780346","ANTC","https://www.bart.gov/stations/antc","0","place_ANTC"
"COLS","","Oakland Coliseum - OAC","","37.753576","-122.196716","COLS","https://www.bart.gov/stations/cols","0","place_COLS"
"OAKL","","Oakland International Airport Station","","37.713268","-122.2122","OAKL","https://www.bart.gov/stations/oakl","0","place_OAKL"
"12TH","","12th Street / Oakland City Center","","37.803482","-122.27163","12TH","https://www.bart.gov/stations/12th","0","place_12TH"
"19TH","","19th Street Oakland","","37.808078","-122.268758","19TH","https://www.bart.gov/stations/19th","0","place_19TH"
"MCAR","","MacArthur","","37.828803","-122.267105","MCAR","https://www.bart.gov/stations/mcar","0","place_MCAR"
"CAST","","Castro Valley","","37.690737","-122.075601","CAST","https://www.bart.gov/stations/cast","0","place_CAST"
"WDUB","","West Dublin / Pleasanton","","37.699721","-121.928277","WDUB","https://www.bart.gov/stations/wdub","0","place_WDUB"
"DUBL","","Dublin / Pleasanton","","37.701646","-121.899229","DUBL","https://www.bart.gov/stations/dubl","0","place_DUBL"
"WOAK","","West Oakland","","37.804888","-122.295151","WOAK","https://www.bart.gov/stations/woak","0","place_WOAK"
"EMBR","","Embarcadero","","37.792762","-122.397037","EMBR","https://www.bart.gov/stations/embr","0","place_EMBR"
"MONT","","Montgomery Street","","37.789173","-122.401587","MONT","https://www.bart.gov/stations/mont","0","place_MONT"
"POWL","","Powell Street","","37.784606","-122.407331","POWL","https://www.bart.gov/stations/powl","0","place_POWL"
"CIVC","","Civic Center / UN Plaza","","37.779408","-122.413826","CIVC","https://www.bart.gov/stations/civc","0","place_CIVC"
"16TH","","16th Street / Mission","","37.765173","-122.419704","16TH","https://www.bart.gov/stations/16th","0","place_16TH"
"24TH","","24th Street / Mission","","37.752419","-122.418468","24TH","https://www.bart.gov/stations/24th","0","place_24TH"
"GLEN","","Glen Park","","37.733235","-122.433515","GLEN","https://www.bart.gov/stations/glen","0","place_GLEN"
"BALB","","Balboa Park","","37.721747","-122.447457","BALB","https://www.bart.gov/stations/balb","0","place_BALB"
"DALY","","Daly City","","37.706259","-122.468908","DALY","https://www.bart.gov/stations/daly","0","place_DALY"
"ASHB","","Ashby","","37.853072","-122.269771","ASHB","https://www.bart.gov/stations/ashb","0","place_ASHB"
"DBRK","","Downtown Berkeley","","37.87011","-122.268109","DBRK","https://www.bart.gov/stations/dbrk","0","place_DBRK"
"NBRK","","North Berkeley","","37.874005","-122.283523","NBRK","https://www.bart.gov/stations/nbrk","0","place_NBRK"
"PLZA","","El Cerrito Plaza","","37.90261","-122.29892","PLZA","https://www.bart.gov/stations/plza","0","place_PLZA"
"DELN","","El Cerrito Del Norte","","37.925184","-122.316892","DELN","https://www.bart.gov/stations/deln","0","place_DELN"
"RICH","","Richmond","","37.936758","-122.353047","RICH","https://www.bart.gov/stations/rich","0","place_RICH"
"WARM","","Warm Springs / South Fremont","","37.502285","-121.939395","WARM","https://www.bart.gov/stations/warm","0","place_WARM"
"COLM","","Colma","","37.684635","-122.466157","COLM","https://www.bart.gov/stations/colm","0","place_COLM"
"SSAN","","South San Francisco","","37.664462","-122.444211","SSAN","https://www.bart.gov/stations/ssan","0","place_SSAN"
"SBRN","","San Bruno","","37.63773","-122.416326","SBRN","https://www.bart.gov/stations/sbrn","0","place_SBRN"
"MLBR","","Millbrae (Caltrain Transfer Platform)","","37.600237","-122.386757","MLBR","https://www.bart.gov/stations/mlbr","0","place_MLBR"
"SFIA","","San Francisco International Airport","","37.616091","-122.391954","SFIA","https://www.bart.gov/stations/sfia","0","place_SFIA"
"MLPT","","Milpitas","","37.410277","-121.891081","MLPT","https://www.bart.gov/stations/MLPT","0","place_MLPT"
"BERY","","Berryessa","","37.368473","-121.874681","BERY","https://www.bart.gov/stations/bery","0","place_BERY"
"place_LAKE","","Lake Merritt","","37.797322","-122.265247","","","1",""
"place_FTVL","","Fruitvale","","37.774841","-122.224081","","","1",""
"place_COLS","","Coliseum","","37.753576","-122.196716","","","1",""
